"","show","period","date","value"
"1","Beauty and the Beast","month",1994-03-01,1463821
"2","Beauty and the Beast","month",1994-04-01,2363130
"3","Beauty and the Beast","month",1994-05-01,3396779
"4","Beauty and the Beast","month",1994-06-01,2830054
"5","Beauty and the Beast","month",1994-07-01,3571967
"6","Beauty and the Beast","month",1994-08-01,2850073
"7","Beauty and the Beast","month",1994-09-01,2818410
"8","Beauty and the Beast","month",1994-10-01,3521421
"9","Beauty and the Beast","month",1994-11-01,2829721
"10","Beauty and the Beast","month",1994-12-01,2808143
"11","Beauty and the Beast","month",1995-01-01,3452708
"12","Beauty and the Beast","month",1995-02-01,2567572
"13","Beauty and the Beast","month",1995-03-01,2662834
"14","Beauty and the Beast","month",1995-04-01,3342638
"15","Beauty and the Beast","month",1995-05-01,2672302
"16","Beauty and the Beast","month",1995-06-01,2712371
"17","Beauty and the Beast","month",1995-07-01,3424807
"18","Beauty and the Beast","month",1995-08-01,2869645
"19","Beauty and the Beast","month",1995-09-01,2649035
"20","Beauty and the Beast","month",1995-10-01,3323835
"21","Beauty and the Beast","month",1995-11-01,2693410
"22","Beauty and the Beast","month",1995-12-01,3563360
"23","Beauty and the Beast","month",1996-01-01,2557562
"24","Beauty and the Beast","month",1996-02-01,2512380
"25","Beauty and the Beast","month",1996-03-01,3217512
"26","Beauty and the Beast","month",1996-04-01,2708776
"27","Beauty and the Beast","month",1996-05-01,2586141
"28","Beauty and the Beast","month",1996-06-01,3181281
"29","Beauty and the Beast","month",1996-07-01,2660403
"30","Beauty and the Beast","month",1996-08-01,2675182
"31","Beauty and the Beast","month",1996-09-01,2933033
"32","Beauty and the Beast","month",1996-10-01,2518998
"33","Beauty and the Beast","month",1996-11-01,2302485
"34","Beauty and the Beast","month",1996-12-01,3619251
"35","Beauty and the Beast","month",1997-01-01,2421311
"36","Beauty and the Beast","month",1997-02-01,2276124
"37","Beauty and the Beast","month",1997-03-01,2904103
"38","Beauty and the Beast","month",1997-04-01,2459883
"39","Beauty and the Beast","month",1997-05-01,2343507
"40","Beauty and the Beast","month",1997-06-01,2807098
"41","Beauty and the Beast","month",1997-07-01,2439972
"42","Beauty and the Beast","month",1997-08-01,3068302
"43","Beauty and the Beast","month",1997-09-01,1803843
"44","Beauty and the Beast","month",1997-10-01,2153791
"45","Beauty and the Beast","month",1997-11-01,2803975
